case_id,scale_id,sequence_length,classifier_mode,seed,expectation,episode_count,event_count,transition_count,motif_count,length3_motif_count,length3_support_mass,length3_top_support,length3_top_support_fraction,recurring_length3_fraction,full_sequence_motif_count,full_sequence_support_mass,full_sequence_top_support,full_sequence_top_support_fraction,recurring_full_sequence_fraction,length3_index_status_counts,full_sequence_index_status_counts,length3_background_recurrence_count,length3_ambiguous_evidence_count,full_sequence_background_recurrence_count,full_sequence_ambiguous_evidence_count,repeated_episode_instance_fraction,event_label_redundancy_fraction,transition_redundancy_fraction,compressibility_index,event_history_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,length3_outcome_purity_max,length3_outcome_purity_mean,length3_context_purity_max,length3_context_purity_mean,length3_outcome_entropy_max,length3_context_entropy_max,novelty_failure,failure_modes,evidence_index_failure,evidence_failure_modes,top5_length3_patterns,top5_full_sequence_indexed_patterns
shared_edges_unique_middle,small,5,naive_recurrence,209,partial_recurrence_only,60,300,240,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.21867,0.0,0.07289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,5,naive_recurrence,7,partial_recurrence_only,60,300,240,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.109372,0.0,0.036457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,5,naive_recurrence,108,partial_recurrence_only,60,300,240,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.109372,0.0,0.036457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,5,naive_recurrence,209,partial_recurrence_only,60,300,240,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.109372,0.0,0.036457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
hidden_novelty_alias_collision,small,5,naive_recurrence,7,hidden_novelty,60,300,240,13,3,180,60,0.333333,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.016667,0.016667,0.016667,0.016667,5.906891,5.906891,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {C,D} -> {D,E} -> {E,F}",
hidden_novelty_alias_collision,small,5,naive_recurrence,108,hidden_novelty,60,300,240,13,3,180,60,0.333333,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.016667,0.016667,0.016667,0.016667,5.906891,5.906891,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {C,D} -> {D,E} -> {E,F}",
hidden_novelty_alias_collision,small,5,naive_recurrence,209,hidden_novelty,60,300,240,13,3,180,60,0.333333,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.016667,0.016667,0.016667,0.016667,5.906891,5.906891,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {C,D} -> {D,E} -> {E,F}",
contradictory_outcomes,small,5,naive_recurrence,7,outcome_contradiction,60,300,240,13,3,180,60,0.333333,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.15,0.15,1.0,1.0,2.804936,0.0,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {C,D} -> {D,E} -> {E,F}",
contradictory_outcomes,small,5,naive_recurrence,108,outcome_contradiction,60,300,240,13,3,180,60,0.333333,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.15,0.15,1.0,1.0,2.804936,0.0,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {C,D} -> {D,E} -> {E,F}",
contradictory_outcomes,small,5,naive_recurrence,209,outcome_contradiction,60,300,240,13,3,180,60,0.333333,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.15,0.15,1.0,1.0,2.804936,0.0,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {C,D} -> {D,E} -> {E,F}",
random_small_vocab,small,5,naive_recurrence,7,chance_recurrence,60,300,240,86,21,43,3,0.016667,0.238889,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.006378,0.030213,0.091826,0.088889,0.111111,0.0,1.0,0.515873,1.0,0.515873,1.584963,1.584963,False,,False,,"{F,G} -> {E,F} -> {E,F} | {G,H} -> {B,C} -> {G,H} | {E,F} -> {E,F} -> {A,H} | {E,F} -> {A,H} -> {G,H} | {G,H} -> {F,G} -> {E,F}",
random_small_vocab,small,5,naive_recurrence,108,chance_recurrence,60,300,240,92,30,67,4,0.022222,0.372222,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.006896,0.034343,0.13782,0.088889,0.125,-0.027778,0.666667,0.475,0.666667,0.475,2.0,2.0,False,,False,,"{G,H} -> {C,D} -> {E,F} | {A,B} -> {A,B} -> {D,E} | {C,D} -> {A,B} -> {C,D} | {C,D} -> {E,F} -> {C,D} | {C,D} -> {A,H} -> {B,C}",
random_small_vocab,small,5,naive_recurrence,209,chance_recurrence,60,300,240,89,25,51,3,0.016667,0.283333,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.005262,0.026585,0.10506,0.116279,0.152778,-0.083333,0.5,0.493333,0.5,0.493333,1.584963,1.584963,False,,False,,"{E,F} -> {D,E} -> {D,E} | {F,G} -> {A,H} -> {A,B} | {F,G} -> {G,H} -> {A,B} | {G,H} -> {A,B} -> {B,C} | {A,B} -> {G,H} -> {A,B}",
uniform_branching,small,5,naive_recurrence,7,high_branch_entropy,60,300,240,105,32,76,5,0.027778,0.422222,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.035158,0.055468,0.170949,0.111111,0.013889,0.111111,0.5,0.451562,1.0,1.0,2.321928,0.0,False,low_predictive_utility,False,,"{A,B} -> {B,G} -> {I,J} | {A,B} -> {B,C} -> {G,H} | {A,B} -> {B,K} -> {C,D} | {A,B} -> {B,G} -> {M,N} | {A,B} -> {B,M} -> {E,F}",
uniform_branching,small,5,naive_recurrence,108,high_branch_entropy,60,300,240,97,29,73,6,0.033333,0.405556,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.037574,0.055769,0.166299,0.166667,0.027778,0.111111,1.0,0.520115,1.0,1.0,2.584963,0.0,False,low_predictive_utility,False,,"{A,B} -> {B,K} -> {I,J} | {A,B} -> {B,E} -> {I,J} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,M} -> {I,J} | {A,B} -> {B,G} -> {M,N}",
