seed_index,seed,world,detector_variant,detector,event_decoder,dropout_probability,spurious_probability,noise_region,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_length3_rank_worst,canonical_event_support_fraction,canonical_transition_support_fraction,canonical_event_support_mass,canonical_transition_support_mass,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.1,0.05,positive_gain,degraded,overcapture_degradation;motif_degradation,411,271,31,47;47,0.783333,47;47,47,94,0.9791666666666666,0.195834,1;2,2,0.8564476885644768,0.7712177121771218,352,209,96,3,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,E} -> {B,F}",1.1706,0.1706,0.970588,0.947368,0.0,0.970588,0.488603,0.732824,0.771429
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.1,0.05,identity_collapse,failed,coverage_degradation;motif_loss;history_prediction_failure,576,436,94,41;40,0.666667,41;40,40,81,0.5294117647058824,-0.137255,1;2,2,0.7725694444444444,0.48394495412844035,445,211,153,23,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {B,C} -> {C,D} -> {C,D} | {B,E} -> {E,F} -> {E,F} | {A,B} -> {A,B} -> {B,E}",0.780175,0.0,0.666667,0.696721,0.1875,0.479167,0.343132,0.516892,0.485714
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.1,0.1,positive_gain,failed,overcapture_degradation;motif_loss;history_prediction_failure,558,418,129,17;25,0.283333,17;25,17,42,0.525,0.241667,2;1,2,0.5967741935483871,0.3062200956937799,333,128,80,19,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {A,B,C} -> {B,C} | {A,B,C} -> {B,C} -> {C,D} | {A,B} -> {B,C,F} -> {B,C}",1.245818,0.245818,0.4,0.436364,0.0,0.4,0.22066,0.28777,0.3
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.1,0.1,positive_gain,failed,motif_loss;history_prediction_degradation,464,324,65,32;39,0.533333,32;39,32,71,0.7634408602150538,0.230108,2;1,2,0.771551724137931,0.5648148148148148,358,183,93,11,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,C} -> {B,F} | {B,C} -> {B,F} -> {C,D} | {A,B} -> {B,C} -> {C,F}",1.035618,0.035618,0.722222,0.732558,0.010638,0.711584,0.347172,0.505435,0.542857
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.1,0.1,identity_collapse,failed,coverage_degradation;motif_loss;history_prediction_failure,746,606,188,13;17,0.216667,13;17,13,30,0.17751479289940827,-0.039152,2;1,2,0.6514745308310992,0.23267326732673269,486,141,169,57,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {B,E} | {B,C} -> {B,C} -> {C,D} | {A,B} -> {A,B} -> {B,E}",0.708581,0.0,0.295918,0.464968,0.072289,0.223629,0.217398,0.362661,0.128571
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.1,0.15,identity_collapse,failed,overcapture_degradation;motif_loss;history_prediction_failure,725,585,183,2;9,0.033333,2;9,2,11,0.12359550561797752,0.090263,32;1,32,0.4703448275862069,0.15897435897435896,341,93,89,35,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B,E} -> {B,C} | {A,B} -> {A,B,E} -> {B,E} | {A,B} -> {B,C,E} -> {B,C} | {B,C,E} -> {B,C} -> {C,D}",1.371681,0.371681,0.169231,0.316901,0.0,0.169231,0.159913,0.2,0.078571
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.1,0.15,identity_collapse,failed,motif_loss;history_prediction_failure,540,400,108,20;28,0.333333,20;28,20,48,0.42857142857142855,0.095238,2;1,2,0.7185185185185186,0.4225,388,169,112,25,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {B,C} | {B,E} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {A,E}",0.998865,0.0,0.578947,0.691589,0.0,0.578947,0.282144,0.430769,0.378571
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.1,0.15,undercapture,failed,undercapture;motif_loss;history_prediction_failure,931,791,257,9;7,0.116667,9;7,7,16,0.08290155440414508,-0.033765,1;2,2,0.5767991407089151,0.14664981036662453,537,116,193,72,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {B,E} -> {B,E} -> {E,F} | {B,E} -> {E,F} -> {A,F} | {A,B} -> {A,E} -> {B,E}",0.692988,0.0,0.206107,0.333333,0.031674,0.174433,0.16858,0.296467,0.035714
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.1,0.2,identity_collapse,failed,overcapture;motif_loss;history_prediction_failure,926,786,228,0;0,0.0,0;0,0,0,0.0,0.0,0;0,0,0.32937365010799136,0.058524173027989825,305,46,66,27,"{B,C,E} -> {B,E} -> {E,F} | {A,B} -> {A,B,E} -> {B,E} | {A,B} -> {B,C} -> {B,C,G} | {B,C,E} -> {B,C} -> {C,D} | {A,B} -> {A,B,D} -> {A,C,D}",1.581982,0.581982,0.185714,0.166667,0.0,0.185714,0.097831,0.102167,0.0
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.1,0.2,identity_collapse,failed,motif_loss;history_prediction_failure,611,471,159,13;13,0.216667,13;13,13,26,0.1897810218978102,-0.026886,2;1,2,0.6513911620294599,0.24416135881104034,398,115,137,47,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,G} -> {B,E} | {B,G} -> {B,E} -> {E,F} | {B,C} -> {A,D} -> {C,D}",0.986516,0.0,0.385542,0.376812,0.035461,0.350081,0.234275,0.413897,0.228571
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.1,0.2,undercapture,failed,undercapture;motif_loss;history_prediction_failure,1035,895,289,7;4,0.066667,7;4,4,11,0.05238095238095238,-0.014286,3;5,5,0.5642512077294686,0.10391061452513967,584,93,210,83,"{A,B} -> {A,B} -> {B,C} | {A,B} -> {A,B} -> {B,E} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {C,H} -> {B,C} | {A,B} -> {B,E} -> {E,F}",0.662888,0.0,0.116667,0.219697,0.055556,0.061111,0.158444,0.278146,0.0
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.15,0.0,positive_gain,failed,overcapture_degradation;motif_loss,383,243,28,40;48,0.666667,40;48,40,88,1.0,0.333333,2;1,2,0.8668407310704961,0.8065843621399177,332,196,88,2,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D}",1.406077,0.406077,1.0,0.929577,0.0,1.0,0.525142,0.838095,0.842857
