case_id,axis,parameter,value,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,raw_sample_value_loss_fraction,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,repeated_episode_instance_fraction,recurring_three_event_window_fraction,event_instance_loss_fraction,temporal_order_loss_fraction,event_duration,event_gap,window_size,activation_threshold,noise_episodes,min_participants,active_mean,active_std,baseline_mean,baseline_std,dropout_probability,spurious_probability
active_std_0.02,active_variance,active_std,0.02,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.02,0.03,0.01,0.0,0.0
active_std_0.05,active_variance,active_std,0.05,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
active_std_0.10,active_variance,active_std,0.1,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.008939,0.008939,0.9699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.1,0.03,0.01,0.0,0.0
active_std_0.20,active_variance,active_std,0.2,expected_collapse,noncompressible_as_expected,580,380,0,,0.0,1.113103,0.113103,0.969983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.2,0.03,0.01,0.0,0.0
active_std_0.35,active_variance,active_std,0.35,expected_collapse,noncompressible_as_expected,482,284,0,,0.0,1.150985,0.150985,0.9737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.35,0.03,0.01,0.0,0.0
baseline_mean_0.03,baseline_elevation,baseline_mean,0.03,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
baseline_mean_0.15,baseline_elevation,baseline_mean,0.15,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.005556,0.005556,0.969833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.15,0.01,0.0,0.0
baseline_mean_0.30,baseline_elevation,baseline_mean,0.3,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.321111,0.321111,0.960367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.3,0.01,0.0,0.0
baseline_mean_0.45,baseline_elevation,baseline_mean,0.45,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.555,0.555,0.95335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.45,0.01,0.0,0.0
baseline_mean_0.60,baseline_elevation,baseline_mean,0.6,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.57,0.57,0.9529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.6,0.01,0.0,0.0
baseline_std_0.01,baseline_variance,baseline_std,0.01,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
baseline_std_0.05,baseline_variance,baseline_std,0.05,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.05,0.0,0.0
baseline_std_0.10,baseline_variance,baseline_std,0.1,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.1,0.0,0.0
baseline_std_0.20,baseline_variance,baseline_std,0.2,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.008301,0.008301,0.969633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.2,0.0,0.0
baseline_std_0.35,baseline_variance,baseline_std,0.35,expected_collapse,noncompressible_as_expected,606,406,2,,0.0,0.647491,0.0,0.968392,0.0,0.0,0.0,0.0,6.6e-05,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.35,0.0,0.0
dropout_0.00,active_dropout,dropout_probability,0.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
dropout_0.05,active_dropout,dropout_probability,0.05,expected_collapse,noncompressible_as_expected,442,248,0,,0.0,0.775439,0.0,0.9779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.05,0.0
dropout_0.10,active_dropout,dropout_probability,0.1,expected_collapse,noncompressible_as_expected,336,150,0,,0.0,0.618785,0.0,0.9832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.1,0.0
dropout_0.20,active_dropout,dropout_probability,0.2,expected_collapse,noncompressible_as_expected,153,38,0,,0.0,0.317757,0.0,0.99235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.2,0.0
