seed_index,seed,world,detector_variant,detector,event_decoder,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_length3_rank_worst,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
1,108,overlap,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_failure,790,590,117,39;44;47,0.65,39;44;47,39,130,0.5803571428571429,-0.069643,3;2;1,3,224,35,"{A,B} -> {B,G} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {B,E} -> {E,F} -> {E,F} | {A,B} -> {A,B} -> {B,C}",0.798285,0.0,0.604396,0.716981,0.076923,0.527473,0.381192,0.574359,0.53
1,108,hostile_unique,sliding_window_low_threshold,sliding_window,none,expected_collapse,noncompressible_as_expected,926,726,79,,0.0,,0,0,0.0,0.0,,0,0,0,,0.841405,0.0,0.0,0.0,0.0,0.0,0.001744,0.0,0.0
1,108,hostile_unique,sliding_low_consensus_pair,sliding_window,consensus_pair,expected_collapse,noncompressible_as_expected,799,599,141,,0.0,,0,0,0.0,0.0,,0,0,0,,0.684337,0.0,0.0,0.0,0.0,0.0,0.006155,0.0,0.0
1,108,hostile_unique,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,749,549,125,,0.0,,0,0,0.0,0.0,,0,0,0,,0.660777,0.0,0.0,0.0,0.0,0.0,0.004149,0.0,0.0
1,108,hostile_unique,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,788,588,135,,0.0,,0,0,0.0,0.0,,0,0,0,,0.286213,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0
1,108,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,1712,1512,521,,0.0,,0,0,0.0,0.0,,0,0,0,,0.57199,0.0,0.0,0.0,0.0,0.0,0.008599,0.0,0.0
2,209,branch,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,464,324,61,45;45,0.75,45;45,45,90,0.8181818181818182,0.068182,2;1,2,110,11,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {B,C,F} -> {B,C} -> {C,D} | {A,B,C} -> {B,C} -> {C,D} | {A,B} -> {B,C,E} -> {B,E}",1.282255,0.282255,0.8,0.858696,0.0,0.8,0.42119,0.597826,0.657143
2,209,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation,437,297,42,53;51,0.85,53;51,51,104,0.896551724137931,0.046552,1;2,2,116,8,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {B,E} | {B,C} -> {B,E} -> {E,F} | {A,B} -> {B,E} -> {B,C}",1.206754,0.206754,0.95122,0.952381,0.0,0.95122,0.479954,0.738854,0.778571
2,209,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation,429,289,35,53;54,0.883333,53;54,53,107,0.963963963963964,0.080631,2;1,2,111,4,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,D} -> {B,E} | {B,D} -> {B,E} -> {E,F}",1.198471,0.198471,0.975,0.975904,0.0,0.975,0.489828,0.744966,0.778571
2,209,branch,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,440,300,34,53;56,0.883333,53;56,53,109,0.9316239316239316,0.048291,2;1,2,117,4,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {A,B} -> {B,E}",0.558777,0.0,0.948718,0.97561,0.0,0.948718,0.484284,0.73125,0.771429
2,209,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_failure,558,418,103,38;41,0.633333,38;41,38,79,0.5337837837837838,-0.099549,2;1,2,148,28,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {C,D} | {B,E} -> {E,F} -> {E,F} | {A,B} -> {A,B} -> {B,C}",0.803441,0.0,0.607143,0.745098,0.034783,0.57236,0.347942,0.532374,0.485714
2,209,overlap,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,654,454,60,49;52;45,0.75,49;52;45,45,146,0.9605263157894737,0.210526,2;1;3,3,152,6,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,G} -> {B,E,G} | {B,G} -> {B,E,G} -> {E,F}",1.27597,0.27597,0.827586,0.853659,0.007634,0.819953,0.453761,0.598425,0.7
