environment_id,world,detector_variant,detector,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction,window_size,activation_threshold,dropout_probability,spurious_probability,heu_attack_rate,heu_recovery_rate,heu_leak_rate,heu_commitment_threshold,hysteresis_off_ratio,hybrid_local_threshold_ratio,event_decoder,decoder_subset_size
overlap_dropout,overlap,hybrid_loose_local,hybrid_state_window,degraded,coverage_degradation;motif_degradation,604,404,35,57;56;59,0.933333,0.709241,0.0,0.984127,0.95122,0.04065,0.943477,0.557193,0.877451,0.88,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65,0.55,0.55,none,2
overlap_dropout,overlap,hybrid_fast_decay,hybrid_state_window,degraded,coverage_degradation;motif_degradation,610,410,36,56;57;59,0.933333,0.715532,0.0,0.969231,0.944,0.048,0.921231,0.568956,0.9,0.88,3,0.75,0.05,0.0,0.8,0.6,0.05,0.65,0.55,0.75,none,2
overlap_dropout,overlap,hybrid_high_commit,hybrid_state_window,degraded,coverage_degradation,606,406,36,58;59;57,0.95,0.712456,0.0,0.968254,0.95935,0.03252,0.935734,0.567361,0.898058,0.89,3,0.75,0.05,0.0,0.8,0.35,0.02,0.8,0.55,0.75,none,2
overlap_dropout,overlap,union_default,union_state_window,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,654,454,49,56;54;52,0.866667,0.948815,0.0,0.893333,0.903704,0.074074,0.819259,0.557718,0.905512,0.87,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_dropout,overlap,union_fast_decay,union_state_window,degraded,motif_degradation;history_prediction_degradation,648,448,50,53;56;52,0.866667,0.950963,0.0,0.906667,0.925926,0.074074,0.832593,0.555531,0.907258,0.89,3,0.75,0.05,0.0,0.8,0.6,0.05,0.65,0.55,0.75,none,2
overlap_dropout,overlap,union_high_commit,union_state_window,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,650,450,47,55;53;56,0.883333,0.938534,0.0,0.942029,0.953488,0.054264,0.887765,0.549001,0.896,0.875,3,0.75,0.05,0.0,0.8,0.35,0.02,0.8,0.55,0.75,none,2
overlap_dropout,overlap,union_low_threshold,union_state_window,failed,overcapture,598,398,29,60;60;59,0.983333,1.510216,0.510216,1.0,1.0,0.0,1.0,0.575992,0.90404,0.89,3,0.6,0.05,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_dropout,overlap,union_top_intensity_pair,union_state_window,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,649,449,46,56;54;55,0.9,0.946319,0.0,0.875,0.924242,0.05303,0.82197,0.562648,0.911647,0.87,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65,0.55,0.75,top_intensity_pair,2
overlap_dropout,overlap,union_frequent_subset_pair,union_state_window,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,650,450,49,52;57;53,0.866667,0.945423,0.0,0.913043,0.953488,0.031008,0.882036,0.558432,0.904,0.885,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65,0.55,0.75,frequent_subset_pair,2
overlap_dropout,overlap,union_consensus_pair,union_state_window,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,646,446,46,55;58;58,0.916667,0.946659,0.0,0.905405,0.947761,0.089552,0.815853,0.555173,0.906504,0.895,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65,0.55,0.75,consensus_pair,2
overlap_dropout,overlap,union_consensus_fast_decay,union_state_window,degraded,motif_degradation;history_prediction_degradation,643,443,46,57;56;54,0.9,0.958261,0.0,0.906667,0.933333,0.074074,0.832593,0.553871,0.888889,0.865,3,0.75,0.05,0.0,0.8,0.6,0.05,0.65,0.55,0.75,consensus_pair,2
overlap_dropout,overlap,sliding_low_consensus_pair,sliding_window,failed,overcapture;motif_degradation,588,388,32,57;58;54,0.9,1.502072,0.502072,1.0,0.973684,0.0,1.0,0.564512,0.898936,0.89,3,0.6,0.05,0.0,0.8,0.35,0.02,0.65,0.55,0.75,consensus_pair,2
overlap_dropout,overlap,hybrid_fast_consensus_pair,hybrid_state_window,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,598,398,35,50;54;60,0.833333,0.702084,0.0,0.947368,0.940171,0.042735,0.904633,0.561425,0.888889,0.89,3,0.75,0.05,0.0,0.8,0.6,0.05,0.65,0.55,0.75,consensus_pair,2
overlap_spurious,overlap,sliding_window_default,sliding_window,degraded,coverage_degradation,600,400,29,60;60;59,0.983333,0.779123,0.0,1.0,1.0,0.0,1.0,0.572513,0.895,0.895,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,sliding_window_short,sliding_window,degraded,coverage_degradation;motif_degradation,621,421,42,55;55;56,0.916667,0.795606,0.0,0.982456,0.950413,0.01626,0.966196,0.529126,0.769231,0.815,2,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,sliding_window_long,sliding_window,failed,undercapture;motif_loss,256,91,21,3;5;4,0.05,0.506846,0.0,1.0,0.64,0.0,1.0,0.441469,0.75,0.915152,4,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,sliding_window_low_threshold,sliding_window,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,654,454,73,49;50;51,0.816667,1.299675,0.299675,0.784615,0.88189,0.0,0.784615,0.470196,0.661417,0.7,3,0.6,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,sliding_window_high_threshold,sliding_window,degraded,coverage_degradation,600,400,30,60;60;59,0.983333,0.793794,0.0,1.0,1.0,0.0,1.0,0.570582,0.895,0.895,3,0.9,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,heu_default,heu_like,failed,coverage_degradation;motif_loss;history_prediction_failure,1218,1018,300,9;10;11,0.15,0.928849,0.0,0.300578,0.405797,0.0,0.300578,0.260204,0.399756,0.06,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,heu_fast_decay,heu_like,failed,coverage_degradation;motif_loss;history_prediction_failure,1207,1007,292,12;11;9,0.15,0.932709,0.0,0.331288,0.387681,0.0,0.331288,0.247002,0.359356,0.045,3,0.75,0.0,0.05,0.8,0.6,0.05,0.65,0.55,0.75,none,2
overlap_spurious,overlap,heu_slow_decay,heu_like,failed,overcapture;motif_loss;history_prediction_failure,1560,1360,447,5;3;2,0.033333,1.718049,0.718049,0.2125,0.342105,0.0,0.2125,0.21933,0.344828,0.01,3,0.75,0.0,0.05,0.8,0.15,0.0,0.65,0.55,0.75,none,2
overlap_spurious,overlap,heu_high_commit,heu_like,failed,coverage_degradation;motif_loss;history_prediction_failure,1212,1012,296,7;8;14,0.116667,0.929236,0.0,0.3125,0.419476,0.0,0.3125,0.244885,0.358374,0.05,3,0.75,0.0,0.05,0.8,0.35,0.02,0.8,0.55,0.75,none,2
overlap_spurious,overlap,heu_low_commit,heu_like,failed,overcapture_degradation;motif_loss;history_prediction_failure,1473,1273,369,4;2;6,0.033333,1.387132,0.387132,0.205556,0.261398,0.0,0.205556,0.177689,0.245107,0.01,3,0.75,0.0,0.05,0.8,0.35,0.02,0.5,0.55,0.75,none,2
overlap_spurious,overlap,hysteresis_default,hysteresis,failed,coverage_degradation;motif_loss;history_prediction_failure,1213,1013,309,9;11;14,0.15,0.931655,0.0,0.291667,0.351536,0.0,0.291667,0.251603,0.373924,0.045,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.55,0.75,none,2
overlap_spurious,overlap,hysteresis_tight,hysteresis,failed,coverage_degradation;motif_loss;history_prediction_failure,1198,998,295,9;9;9,0.15,0.92359,0.0,0.229508,0.35689,0.0,0.229508,0.238603,0.345865,0.1,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65,0.85,0.75,none,2
