case_id,axis,parameter,value,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,raw_sample_value_loss_fraction,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,event_instance_loss_fraction,temporal_order_loss_fraction,event_duration,event_gap,window_size,activation_threshold,noise_episodes,min_participants,active_mean,active_std,baseline_mean,baseline_std,dropout_probability,spurious_probability
duration_1,event_duration,event_duration,1.0,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_2,event_duration,event_duration,2.0,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_3,event_duration,event_duration,3.0,faithful,within_useful_manifold,420,280,29,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_4,event_duration,event_duration,4.0,faithful,within_useful_manifold,420,280,25,60;60,1.0,1.0,0.0,0.833333,1.0,1.0,0.0,1.0,1.0,1.0,4,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_5,event_duration,event_duration,5.0,faithful,within_useful_manifold,420,280,30,60;60,1.0,1.0,0.0,0.821429,1.0,1.0,0.0,1.0,1.0,1.0,5,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_0,temporal_separation,event_gap,0.0,faithful,within_useful_manifold,418,278,27,60;60,1.0,1.0,0.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,3,0,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_1,temporal_separation,event_gap,1.0,faithful,within_useful_manifold,420,280,25,60;60,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,1.0,1.0,1.0,3,1,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_2,temporal_separation,event_gap,2.0,faithful,within_useful_manifold,420,280,29,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_3,temporal_separation,event_gap,3.0,faithful,within_useful_manifold,420,280,27,60;60,1.0,1.0,0.0,0.875,1.0,1.0,0.0,1.0,1.0,1.0,3,3,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_5,temporal_separation,event_gap,5.0,faithful,within_useful_manifold,420,280,27,60;60,1.0,1.0,0.0,0.90625,1.0,1.0,0.0,1.0,1.0,1.0,3,5,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
signal_0.55,signal_separation,active_mean,0.55,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,0.55,0.05,0.03,0.01,0.0,0.0
signal_0.70,signal_separation,active_mean,0.7,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,0.7,0.05,0.03,0.01,0.0,0.0
signal_0.85,signal_separation,active_mean,0.85,faithful,within_useful_manifold,420,280,28,60;60,1.0,1.020243,0.020243,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,0.85,0.05,0.03,0.01,0.0,0.0
signal_1.00,signal_separation,active_mean,1.0,faithful,within_useful_manifold,420,280,27,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
signal_1.15,signal_separation,active_mean,1.15,degraded,overcapture_degradation,419,279,25,60;60,1.0,1.414286,0.414286,0.787857,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.15,0.05,0.03,0.01,0.0,0.0
active_std_0.02,active_variance,active_std,0.02,faithful,within_useful_manifold,420,280,25,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.02,0.03,0.01,0.0,0.0
active_std_0.05,active_variance,active_std,0.05,faithful,within_useful_manifold,420,280,24,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
active_std_0.10,active_variance,active_std,0.1,faithful,within_useful_manifold,420,280,21,60;60,1.0,1.008786,0.008786,0.849643,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.1,0.03,0.01,0.0,0.0
active_std_0.20,active_variance,active_std,0.2,degraded,overcapture_degradation;motif_degradation,412,272,31,60;53,0.883333,1.132712,0.132712,0.848095,1.0,0.987654,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.2,0.03,0.01,0.0,0.0
active_std_0.35,active_variance,active_std,0.35,failed,motif_loss,321,181,24,26;21,0.35,1.084906,0.084906,0.876786,1.0,0.867925,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.35,0.03,0.01,0.0,0.0
baseline_mean_0.03,baseline_elevation,baseline_mean,0.03,faithful,within_useful_manifold,420,280,26,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
baseline_mean_0.15,baseline_elevation,baseline_mean,0.15,faithful,within_useful_manifold,420,280,26,60;60,1.0,1.000794,0.000794,0.849881,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.15,0.01,0.0,0.0
baseline_mean_0.30,baseline_elevation,baseline_mean,0.3,degraded,overcapture_degradation,420,280,28,60;60,1.0,1.323016,0.323016,0.801548,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.3,0.01,0.0,0.0
baseline_mean_0.45,baseline_elevation,baseline_mean,0.45,failed,overcapture,417,277,27,60;60,1.0,1.553175,0.553175,0.767024,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.45,0.01,0.0,0.0
baseline_mean_0.60,baseline_elevation,baseline_mean,0.6,failed,overcapture,419,279,27,60;60,1.0,1.569841,0.569841,0.764524,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.6,0.01,0.0,0.0
baseline_std_0.01,baseline_variance,baseline_std,0.01,faithful,within_useful_manifold,420,280,26,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
baseline_std_0.05,baseline_variance,baseline_std,0.05,faithful,within_useful_manifold,420,280,27,60;60,1.0,1.000794,0.000794,0.849881,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.05,0.0,0.0
baseline_std_0.10,baseline_variance,baseline_std,0.1,faithful,within_useful_manifold,420,280,25,60;60,1.0,1.000794,0.000794,0.849881,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.1,0.0,0.0
baseline_std_0.20,baseline_variance,baseline_std,0.2,faithful,within_useful_manifold,420,280,27,60;60,1.0,1.00595,0.00595,0.849048,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.2,0.0,0.0
baseline_std_0.35,baseline_variance,baseline_std,0.35,degraded,coverage_degradation,420,280,26,60;60,1.0,0.941134,0.0,0.842976,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.35,0.0,0.0
dropout_0.00,active_dropout,dropout_probability,0.0,faithful,within_useful_manifold,420,280,28,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
dropout_0.05,active_dropout,dropout_probability,0.05,failed,coverage_degradation;motif_loss,320,181,25,23;27,0.383333,0.797342,0.0,0.885714,1.0,0.849057,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.05,0.0
dropout_0.10,active_dropout,dropout_probability,0.1,failed,undercapture;motif_loss,219,96,19,7;12,0.116667,0.579876,0.0,0.921786,1.0,0.692308,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.1,0.0
dropout_0.20,active_dropout,dropout_probability,0.2,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,112,30,13,0;0,0.0,0.331198,0.0,0.96,0.0,0.454545,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.2,0.0
dropout_0.35,active_dropout,dropout_probability,0.35,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,33,1,6,0;0,0.0,0.116334,0.0,0.988214,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.35,0.0
dropout_0.50,active_dropout,dropout_probability,0.5,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,6,1,1,0;0,0.0,0.02915,0.0,0.997857,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.5,0.0
spurious_0.00,inactive_spurious_activity,spurious_probability,0.0,faithful,within_useful_manifold,420,280,26,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
spurious_0.01,inactive_spurious_activity,spurious_probability,0.01,degraded,coverage_degradation,420,280,30,60;60,1.0,0.942056,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.01
spurious_0.03,inactive_spurious_activity,spurious_probability,0.03,degraded,coverage_degradation,420,280,29,60;60,1.0,0.862517,0.0,0.849881,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.03
spurious_0.05,inactive_spurious_activity,spurious_probability,0.05,degraded,coverage_degradation,420,280,25,59;60,0.983333,0.784429,0.0,0.849464,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.05
spurious_0.10,inactive_spurious_activity,spurious_probability,0.1,failed,undercapture,421,281,27,58;60,0.966667,0.635636,0.0,0.84881,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.1
spurious_0.20,inactive_spurious_activity,spurious_probability,0.2,failed,undercapture;motif_degradation;history_prediction_degradation,445,305,42,44;47,0.733333,0.524967,0.0,0.832917,0.888889,0.8875,0.0,0.888889,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.2
min_participants_1,participant_cardinality,min_participants,1.0,faithful,within_useful_manifold,421,281,27,60;59,0.983333,1.00119,0.00119,0.849821,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,1,1.0,0.05,0.03,0.01,0.0,0.0
min_participants_2,participant_cardinality,min_participants,2.0,faithful,within_useful_manifold,420,280,28,60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
min_participants_3,participant_cardinality,min_participants,3.0,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,3,1.0,0.05,0.03,0.01,0.0,0.0
