seed_index,seed,world,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,event_count,transition_count,motif_count,motif_support_mass,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
2,209,branch,sliding_low_temporal_high_penalty,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,429,289,36,776.0,54;54,0.9,1.197834,0.197834,0.975,0.975904,0.0,0.975,0.492821,0.751678,0.778571
2,209,branch,sliding_low_temporal_weak_recurrence,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,432,292,38,775.0,51;53,0.85,1.202931,0.202931,0.95,0.963855,0.0,0.95,0.475728,0.723684,0.75
2,209,branch,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,2,failed,undercapture;motif_degradation;history_prediction_degradation,440,300,34,797.0,53;56,0.883333,0.558777,0.0,0.948718,0.97561,0.0,0.948718,0.484284,0.73125,0.771429
2,209,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,558,418,103,1027.0,38;41,0.633333,0.803441,0.0,0.607143,0.745098,0.034783,0.57236,0.347942,0.532374,0.485714
2,209,branch,union_temporal_high_penalty,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,563,423,103,1041.0,36;36,0.6,0.807263,0.0,0.568966,0.72381,0.016949,0.552016,0.34916,0.540636,0.457143
2,209,branch,union_temporal_weak_recurrence,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,590,450,105,1102.0,35;36,0.583333,0.820006,0.0,0.558824,0.73913,0.007812,0.551011,0.330977,0.532258,0.378571
2,209,branch,union_temporal_consensus_fast_decay,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,558,418,103,1027.0,38;41,0.633333,0.803441,0.0,0.607143,0.745098,0.034783,0.57236,0.347942,0.532374,0.485714
2,209,overlap,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation,610,410,37,1142.0,59;56;56,0.933333,1.20107,0.20107,0.966667,0.975,0.00813,0.958537,0.543754,0.82381,0.835
2,209,overlap,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,610,410,37,1142.0,59;56;55,0.916667,1.200624,0.200624,0.95082,0.966942,0.008065,0.942755,0.54501,0.828571,0.84
2,209,overlap,sliding_low_temporal_high_penalty,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,614,414,38,1147.0,58;56;55,0.916667,1.204191,0.204191,0.934426,0.958678,0.008,0.926426,0.53525,0.808411,0.825
2,209,overlap,sliding_low_temporal_weak_recurrence,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,618,418,40,1146.0,56;55;54,0.9,1.207757,0.207757,0.933333,0.942623,0.0,0.933333,0.518732,0.775229,0.805
2,209,overlap,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,2,failed,undercapture;motif_degradation;history_prediction_degradation,637,437,46,1200.0,57;57;54,0.9,0.557289,0.0,0.880597,0.913386,0.03876,0.841837,0.522353,0.793249,0.805
2,209,overlap,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,793,593,126,1499.0,38;39;42,0.633333,0.799376,0.0,0.553191,0.648485,0.082353,0.470839,0.368745,0.544529,0.515
2,209,overlap,union_temporal_high_penalty,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,797,597,128,1512.0,32;39;41,0.533333,0.802051,0.0,0.515789,0.638554,0.05848,0.45731,0.368683,0.549118,0.505
2,209,overlap,union_temporal_weak_recurrence,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,834,634,139,1614.0,32;34;38,0.533333,0.816317,0.0,0.5,0.645714,0.043956,0.456044,0.360548,0.569124,0.455
2,209,overlap,union_temporal_consensus_fast_decay,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,793,593,126,1499.0,37;39;42,0.616667,0.799376,0.0,0.548387,0.646341,0.076923,0.471464,0.368583,0.544529,0.515
2,209,hostile_unique,sliding_low_consensus_pair,sliding_window,consensus_pair,2,expected_collapse,noncompressible_as_expected,829,629,166,406.0,,0.0,0.686344,0.0,0.0,0.0,0.0,0.0,0.006132,0.0,0.0
2,209,hostile_unique,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,781,581,148,336.0,,0.0,0.664314,0.0,0.0,0.0,0.0,0.0,0.004654,0.0,0.0
2,209,hostile_unique,sliding_low_temporal_high_penalty,sliding_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,767,567,139,300.0,,0.0,0.658325,0.0,0.0,0.0,0.0,0.0,0.003689,0.0,0.0
2,209,hostile_unique,sliding_low_temporal_weak_recurrence,sliding_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,764,564,135,277.0,,0.0,0.657256,0.0,0.0,0.0,0.0,0.0,0.003017,0.0,0.0
2,209,hostile_unique,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,779,579,141,322.0,,0.0,0.282751,0.0,0.0,0.0,0.0,0.0,0.004916,0.0,0.0
2,209,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1735,1535,516,1574.0,,0.0,0.571062,0.0,0.0,0.0,0.0,0.0,0.009738,0.002996,0.0
2,209,hostile_unique,union_temporal_high_penalty,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1717,1517,545,1581.0,,0.0,0.565715,0.0,0.0,0.0,0.006024,-0.006024,0.007457,0.0,0.0
2,209,hostile_unique,union_temporal_weak_recurrence,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1733,1533,555,1576.0,,0.0,0.568709,0.0,0.0,0.0,0.003003,-0.003003,0.006982,0.0,0.0
2,209,hostile_unique,union_temporal_consensus_fast_decay,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1738,1538,517,1580.0,,0.0,0.572131,0.0,0.0,0.0,0.0,0.0,0.009762,0.00299,0.0
