pattern,support,variants,predicted_next_events,contexts,outcomes
"{B,C,E}",17,"{E,F}:7;{B,C}:3;{B,E}:2;{E,F,G}:1;{A,B,E,F}:1;{B,C,D}:1;{B,C,E,H}:1;{B,C,F}:1","{E,F};{B,C};{B,E};{E,F,G};{A,B,E,F};{B,C,D};{B,C,E,H};{B,C,F}",X:9;Z:8,Y1:9;Y2:8
"{A,B,F}",17,"{A,B}:6;{B,E}:4;{B,G}:2;{B,C}:2;{A,B,C}:1;{B,C,F}:1;{A,B,G}:1","{A,B};{B,E};{B,G};{B,C};{A,B,C};{B,C,F};{A,B,G}",Z:7;W:6;X:4,Y2:7;Y3:6;Y1:4
"{E,F,H}",17,"{E,F}:7;{A,C}:1","{E,F};{A,C}",X:7;Z:6;W:4,Y1:7;Y2:6;Y3:4
"{E,F} -> {B,E,F}",16,"{D,E}:1;{C,E}:1","{D,E};{C,E}",Z:9;X:4;W:3,Y2:9;Y1:4;Y3:3
"{A,B} -> {A,B,E}",12,"{B,E}:6;{B,C}:2;{B,E,F}:1;{E,G}:1;{A,C,D}:1;{A,B,H}:1","{B,E};{B,C};{B,E,F};{E,G};{A,C,D};{A,B,H}",Z:7;X:4;W:1,Y2:7;Y1:4;Y3:1
"{D,E}",12,"{E,F}:4;{D,E}:1;{A,E,G}:1;{A,B}:1;{A,D,E}:1;{F,G}:1;{E,F,H}:1","{E,F};{D,E};{A,E,G};{A,B};{A,D,E};{F,G};{E,F,H}",N:5;X:3;Z:2;W:2,YN:5;Y1:3;Y2:2;Y3:2
"{A,B} -> {A,B,F}",11,"{B,E}:4;{B,G}:2;{B,C}:2;{A,B,C}:1;{B,C,F}:1;{A,B,G}:1","{B,E};{B,G};{B,C};{A,B,C};{B,C,F};{A,B,G}",Z:4;W:4;X:3,Y2:4;Y3:4;Y1:3
"{B,C,D}",11,"{E,F}:5;{B,C}:3;{D,E,F}:1;{D,E}:1;{A,E,F}:1","{E,F};{B,C};{D,E,F};{D,E};{A,E,F}",X:9;N:1;Z:1,Y1:9;YN:1;Y2:1
"{E,G}",11,"{E,F}:3;{E,G}:1;{C,D}:1;{A,E,F}:1;{A,D}:1;{E,F,G}:1;{C,E,G}:1;{B,C,D,F}:1","{E,F};{E,G};{C,D};{A,E,F};{A,D};{E,F,G};{C,E,G};{B,C,D,F}",N:5;W:3;X:2;Z:1,YN:5;Y3:3;Y1:2;Y2:1
"{C,E,F}",11,"{E,F}:3;{E,F,G}:1;{B,E}:1;{A,D}:1","{E,F};{E,F,G};{B,E};{A,D}",X:4;W:4;Z:3,Y1:4;Y3:4;Y2:3
"{A,B,H} -> {A,B}",11,"{B,G}:2;{B,C}:1;{A,B,F}:1;{B,C,F}:1;{B,E}:1;{B,C,D}:1;{B,D,E}:1;{B,C,G}:1;{A,B,G}:1;{A,B,D}:1","{B,G};{B,C};{A,B,F};{B,C,F};{B,E};{B,C,D};{B,D,E};{B,C,G};{A,B,G};{A,B,D}",X:6;W:3;Z:2,Y1:6;Y3:3;Y2:2
"{A,B} -> {A,B,D}",11,"{B,E}:4;{B,G}:3;{B,C}:1;{A,B,G}:1;{A,B,D,E}:1;{B,C,G}:1","{B,E};{B,G};{B,C};{A,B,G};{A,B,D,E};{B,C,G}",Z:5;X:3;W:3,Y2:5;Y1:3;Y3:3
"{E,F} -> {A,E,F}",10,"{F,H}:2;{E,F,H}:1","{F,H};{E,F,H}",W:4;X:3;Z:3,Y3:4;Y1:3;Y2:3
