pattern,support,variants,predicted_next_events,contexts,outcomes
"{U34,U39}",2,"{U04,U19}:1;{U06,U31,U33,U34}:1","{U04,U19};{U06,U31,U33,U34}",CTX_0076:1;CTX_0082:1,OUT_0076:1;OUT_0082:1
"{U09,U13}",2,"{U05,U19}:1;{U00,U05,U07,U11,U22,U33}:1","{U05,U19};{U00,U05,U07,U11,U22,U33}",CTX_0077:1;CTX_0118:1,OUT_0077:1;OUT_0118:1
"{U05,U19}",2,"{U01,U05,U19,U37}:1","{U01,U05,U19,U37}",CTX_0077:1;CTX_0185:1,OUT_0077:1;OUT_0185:1
"{U22,U32,U35}",2,"{U03,U22,U35}:1;{U08,U30}:1","{U03,U22,U35};{U08,U30}",CTX_0078:1;CTX_0159:1,OUT_0078:1;OUT_0159:1
"{U15,U27}",2,"{U04,U07,U09,U15,U21}:1;{U15,U27,U38}:1","{U04,U07,U09,U15,U21};{U15,U27,U38}",CTX_0079:1;CTX_0159:1,OUT_0079:1;OUT_0159:1
"{U19,U34}",2,"{U01,U02,U06,U25,U31}:1;{U05,U08,U13,U19,U32,U34,U37}:1","{U01,U02,U06,U25,U31};{U05,U08,U13,U19,U32,U34,U37}",CTX_0079:1;CTX_0118:1,OUT_0079:1;OUT_0118:1
"{U05,U10}",2,"{U00,U05,U10,U21}:1;{U14,U21,U30}:1","{U00,U05,U10,U21};{U14,U21,U30}",CTX_0080:1;CTX_0118:1,OUT_0080:1;OUT_0118:1
"{U07,U11}",2,"{U07,U11,U29}:1;{U07,U29,U35,U39}:1","{U07,U11,U29};{U07,U29,U35,U39}",CTX_0080:1;CTX_0197:1,OUT_0080:1;OUT_0197:1
"{U12,U35}",2,"{U04,U13,U22,U23}:1;{U02,U19,U25}:1","{U04,U13,U22,U23};{U02,U19,U25}",CTX_0080:1;CTX_0173:1,OUT_0080:1;OUT_0173:1
"{U12,U25}",2,"{U02,U33}:1;{U05,U06,U12,U25}:1","{U02,U33};{U05,U06,U12,U25}",CTX_0082:1;CTX_0092:1,OUT_0082:1;OUT_0092:1
"{U02,U33}",2,"{U00,U30,U37}:1;{U02,U07,U33,U34}:1","{U00,U30,U37};{U02,U07,U33,U34}",CTX_0082:1;CTX_0138:1,OUT_0082:1;OUT_0138:1
