pattern,support,variants,predicted_next_events,contexts,outcomes
"{U20,U22}",2,"{U02,U20,U22}:1","{U02,U20,U22}",CTX_0022:2,OUT_0022:2
"{U19,U23}",2,"{U07,U12,U23}:1;{U02,U35}:1","{U07,U12,U23};{U02,U35}",CTX_0023:1;CTX_0051:1,OUT_0023:1;OUT_0051:1
"{U02,U23}",2,"{U28,U37}:1","{U28,U37}",CTX_0025:1;CTX_0129:1,OUT_0025:1;OUT_0129:1
"{U03,U24}",2,"{U03,U10,U34}:1;{U08,U23}:1","{U03,U10,U34};{U08,U23}",CTX_0026:1;CTX_0194:1,OUT_0026:1;OUT_0194:1
"{U08,U13}",2,"{U01,U04}:1","{U01,U04}",CTX_0031:1;CTX_0104:1,OUT_0031:1;OUT_0104:1
"{U01,U04}",2,"{U01,U04,U27}:1;{U35,U36}:1","{U01,U04,U27};{U35,U36}",CTX_0031:1;CTX_0061:1,OUT_0031:1;OUT_0061:1
"{U01,U04,U27}",2,"{U04,U27}:1;{U07,U18,U28}:1","{U04,U27};{U07,U18,U28}",CTX_0031:1;CTX_0045:1,OUT_0031:1;OUT_0045:1
"{U04,U27}",2,,,CTX_0031:1;CTX_0125:1,OUT_0031:1;OUT_0125:1
"{U16,U34}",2,"{U10,U16,U21,U34}:1","{U10,U16,U21,U34}",CTX_0032:2,OUT_0032:2
"{U05,U33}",2,"{U00,U07}:1;{U05,U14,U33}:1","{U00,U07};{U05,U14,U33}",CTX_0034:1;CTX_0078:1,OUT_0034:1;OUT_0078:1
